,university,course,type,review,votes,students,difficulty
160,LearnQuest,"Python Scripting: Dates, Classes and Collections",COURSE,,,,Beginner
161,Coursera Project Network,Basic Statistics in Python (ANOVA),GUIDED PROJECT,4.4,18.0,,Beginner
162,Coursera Project Network,Machine Learning con Python. Nivel Avanzado,GUIDED PROJECT,,,,Intermediate
163,Codio,"Python Basic Structures: Lists, Strings, and Files",COURSE,,,,Beginner
164,Codio,Object-Oriented Python: Inheritance and Encapsulation,COURSE,,,,Intermediate
165,Codio,"Python Object Basics: Functions, Recursion, and Objects",COURSE,,,,Intermediate
166,Coursera Project Network,"Support Vector Machines in Python, From Start to Finish",GUIDED PROJECT,4.6,137.0,4300.0,Intermediate
167,Coursera Project Network,Aprendiendo Python con circuitos digitales,GUIDED PROJECT,4.8,20.0,,Beginner
168,Coursera Project Network,Aprendiendo Python con bases de datos,GUIDED PROJECT,4.6,10.0,,Beginner
169,Coursera Project Network,Aprendiendo Python con álgebra lineal,GUIDED PROJECT,4.6,16.0,,Beginner
170,Coursera Project Network,Use Python to Create a Web Testing Bot,GUIDED PROJECT,,,,Intermediate
171,Coursera Project Network,Python Basics: Create a Guessing Number Game from Scratch,GUIDED PROJECT,4.7,58.0,2900.0,Beginner
172,Coursera Project Network,Create a Python Application using MySQL,GUIDED PROJECT,4.4,108.0,4600.0,Intermediate
173,Coursera Project Network,Create a Memory Puzzle Game in Python Using Pygame,GUIDED PROJECT,4.3,31.0,1700.0,Intermediate
174,Coursera Project Network,Initiation Pratique à Python,GUIDED PROJECT,,,,Beginner
175,Coursera Project Network,Processing Data with Python,GUIDED PROJECT,4.4,186.0,5300.0,Intermediate
176,Coursera Project Network,Creating a Color Game in Python Using Tkinter GUI,GUIDED PROJECT,,,,Beginner
177,Coursera Project Network,GUI Programming: Create a Login System in Python,GUIDED PROJECT,,,,Intermediate
178,Coursera Project Network,Write your own Python tool to footprint a web application,GUIDED PROJECT,,,,Intermediate
179,Coursera Project Network,"Activity Recognition using Python, Tensorflow and Keras",GUIDED PROJECT,,,,Beginner
180,Coursera Project Network,Create Ping-Pong Game in Python using Turtle Graphics,GUIDED PROJECT,,,,Intermediate
181,Coursera Project Network,Python 101: Develop Your First Python Program,GUIDED PROJECT,4.7,22.0,,Beginner
182,Universidad Austral,Manejo de bases de datos con Python,COURSE,4.2,132.0,11000.0,Beginner
183,Universidad Austral,Estructuras de datos en Python,COURSE,4.5,313.0,13000.0,Beginner
184,LearnQuest,"Python Scripting: Files, Inheritance, and Databases",COURSE,,,,Beginner
185,Coursera Project Network,"Concepts in Python: Loops, Functions and Returns",GUIDED PROJECT,4.8,49.0,2100.0,Beginner
186,Coursera Project Network,Analyze Box Office Data with Seaborn and Python,GUIDED PROJECT,4.5,165.0,4000.0,Intermediate
187,Coursera Project Network,"Aprendiendo Python con textos, números y ecuaciones",GUIDED PROJECT,4.8,30.0,,Beginner
188,Coursera Project Network,Exception Handling in Python,GUIDED PROJECT,4.7,28.0,,Intermediate
189,Coursera Project Network,Logistic Regression with NumPy and Python,GUIDED PROJECT,4.5,376.0,11000.0,Beginner
190,Coursera Project Network,Compose and Program Music in Python using Earsketch,GUIDED PROJECT,4.5,305.0,8500.0,Beginner
191,University of Michigan,Programación para todos (Introducción a Python),COURSE,,,,Mixed
192,Coursera Project Network,Creating a Supermarket App Using Python,GUIDED PROJECT,,,,Intermediate
193,Coursera Community Project Network,Basic Data Analysis and Model Building using Python,GUIDED PROJECT,3.5,25.0,,Intermediate
194,Coursera Community Project Network,Basic calculations with Python in Kaggle,GUIDED PROJECT,4.3,7.0,,Beginner
195,IBM,Análise de dados com Python,COURSE,,,,Beginner
196,University of Michigan,Programação para todos (Conceitos básicos de Python),COURSE,,,,Mixed
197,University of Michigan,Программирование для всех (начало работы с Python),COURSE,,,,Mixed
198,University of Michigan,Estructuras de datos de Python,COURSE,,,,Mixed
199,IBM,Python: обработка и анализ данных и ИИ,COURSE,,,,Beginner
200,IBM,Машинное обучение с использованием Python,COURSE,,,,Intermediate
201,University of Michigan,Uso de bancos de dados com Python,COURSE,,,,Mixed
202,Coursera Project Network,Basic Statistics in Python (Correlations and T-tests),GUIDED PROJECT,4.3,15.0,,Beginner
203,Coursera Project Network,Create Python Linux Script to Generate a Disk Usage Report,GUIDED PROJECT,4.5,58.0,4200.0,Intermediate
204,Coursera Project Network,GUI programming: Create a Calculator in Python,GUIDED PROJECT,,,,Intermediate
205,IBM,Визуализация данных с помощью Python,COURSE,,,,Intermediate
206,Coursera Project Network,Python Dynamic HTML Web Server,GUIDED PROJECT,4.6,120.0,5800.0,Beginner
207,Coursera Project Network,Python Tricks and Hacks for Productivity,GUIDED PROJECT,4.0,76.0,3900.0,Intermediate
208,Coursera Project Network,Statistical Data Visualization in Python,GUIDED PROJECT,3.8,93.0,3500.0,Beginner
209,Coursera Project Network,Mining Data to Extract and Visualize Insights in Python,GUIDED PROJECT,4.2,108.0,3200.0,Beginner
210,Coursera Project Network,Simulating Time Series Data by Parallel Computing in Python,GUIDED PROJECT,4.9,8.0,,Intermediate
211,Coursera Project Network,Create a Tic-Tac-Toe game in Python,GUIDED PROJECT,,,,Intermediate
212,Coursera Project Network,"Python: Imputations, Feature Creation & Statistical Analysis",GUIDED PROJECT,4.2,25.0,2100.0,Intermediate
213,Coursera Project Network,Build a Bot in Python for Basic File and Interface Chores,GUIDED PROJECT,,,,Intermediate
214,Coursera Project Network,Exploring and Analyzing Fifa's Datasets Using Python,GUIDED PROJECT,,,,Beginner
215,University of Michigan,Работа с базами данных в Python,COURSE,,,,Mixed
216,Coursera Project Network,Build a User Interface using Python Language,GUIDED PROJECT,,,,Intermediate
217,Coursera Project Network,COVID-19 : Les séries temporelles avec Python et Pandas,GUIDED PROJECT,4.6,17.0,,Intermediate
218,Coursera Project Network,Plots Creation using Matplotlib Python,GUIDED PROJECT,,,,Beginner
219,Coursera Project Network,Aprendiendo Python con estadística descriptiva,GUIDED PROJECT,4.6,25.0,,Beginner
220,Coursera Project Network,Personal Desktop Notifier in Python: Covid-19 notifications,GUIDED PROJECT,,,,Intermediate
221,IBM,Visualização de dados com o Python,COURSE,,,,Intermediate
222,Coursera Project Network,Regex Python - Découvrir les Expressions Régulières,GUIDED PROJECT,4.8,9.0,,Beginner
223,Coursera Project Network,Nettoyer vos données avec Python,GUIDED PROJECT,,,,Beginner
224,Coursera Project Network,Create a Connect Four Game in Python using Pygame,GUIDED PROJECT,,,,Intermediate
225,Coursera Project Network,Dice Game in Python,GUIDED PROJECT,4.6,9.0,,Beginner
226,University of Michigan,Структуры данных Python,COURSE,,,,Mixed
227,Coursera Project Network,Enhance your python unit testing using Coverage,GUIDED PROJECT,,,,Intermediate
228,University of Michigan,Estruturas de dados Python,COURSE,,,,Mixed
229,Coursera Project Network,Analyser vos données avec Python,GUIDED PROJECT,,,,Beginner
230,Coursera Project Network,Data Processing using Python Collections,GUIDED PROJECT,,,,Intermediate
231,Coursera Project Network,Graficando con Python,GUIDED PROJECT,,,,Intermediate
